location_code,pi,location_name,type,Landuse,Area
brs,0.00581714,Brønsvig,Grassland,1,1.9995819850355387
fhj,0.048838302,Fem Høje,Grassland,1,5.00364086449109
gus,0.054120618,Gurede,Grassland,1,5.000571118858456
goej,0.069986748,Gødvad,Grassland,1,9.006888587599155
has,0.014246448,Havelse,Grassland,1,1.9997924274340273
hyf,0.079349921,Hylkedam,Grassland,1,19.013556238593534
jej,0.02572787,Jelling,Grassland,1,6.004688801490794
joej,0.072924994,Jegindø,Grassland,1,2.0015770608035846
klj,0.085931041,Klejtrup,Grassland,1,12.009198663483932
lej,0.034357493,Lendrup,Grassland,1,12.00955385632934
lvj,0.025916073,Lille Vildmose,Grassland,1,9.006002571228892
noj,0.094802749,Nørre Onsild,Grassland,1,13.009713445042632
nys,0.052577158,Nysted,Grassland,1,1.0000447227425873
rdj,0.013155165,Rydal,Grassland,1,3.001884997740388
res,0.068970225,Regnemark,Grassland,1,0.9999278685331344
rmj,0.030953718,Røde Mølle,Grassland,1,2.0014842999044804
ryj,0.096467005,Ry,Grassland,1,12.008971044033393
stj,0.007887914,Stenhøj,Grassland,1,3.001890629569441
trj,0.047497781,Torrild,Grassland,1,1.0006943478602917
utj,0.072548886,Uth,Grassland,1,12.008745975479112
vaj,0.012940346,Vandel,Grassland,1,2.0015907180568204
vis,0.076358156,Vigersdal,Grassland,1,8.999882939748465
aeroe,0.033014807,Ærø,Grassland,1,4.002367019093409
aarj,0.060004103,Årsted,Grassland,1,9.005590726401657
