location_code,ID,pi,location_name,type,x,y
aarj,1,0.060004103,Årsted,Grassland,10.424729999999998,57.442719999999994
bij,2,0.054786625,Bislev,Grassland,9.64362,56.94312
doej,3,0.045099071,Døstrup,Grassland,9.77195,56.68119999999999
dsj,4,0.082877818,Dyngby Strand,Grassland,10.26509,55.95678999999999
fur,5,0.023884486,Fur,Grassland,8.97772,56.81594999999999
gej,6,0.070463468,Gerding,Grassland,9.9733,56.891299999999994
gus,7,0.054120618,Gurede,Grassland,11.66386,55.76331999999999
hhj,8,0.005520479,Hørnhaven,Grassland,10.2284,56.11294
jej,9,0.02572787,Jelling,Grassland,9.44363,55.73996000000001
jhj,10,0.085408432,Jernhatten,Grassland,10.78965,56.24439999999999
koej,11,0.049681602,Kalø,Grassland,10.470889999999999,56.272859999999994
lvj,12,0.025916073,Lille Vildmose,Grassland,10.21079,56.845699999999994
msj,13,0.095433359,Moesgaard Strand,Grassland,10.2459,56.08914
noj,14,0.094802749,Nørre Onsild,Grassland,9.756900000000002,56.61473
sbj,15,0.091388323,Skindbjerg,Grassland,9.9036,56.88101999999999
skj,16,0.028741309,Skærum,Grassland,10.31079,57.43704999999998
ulj,17,0.013109623,Ulstrup,Grassland,9.821590000000002,56.40101999999999
utj,18,0.072548886,Uth,Grassland,9.862,55.81479999999999
vaj,19,0.012940346,Vandel,Grassland,9.23006,55.72766
