ContiguityBonus,Part,Contribution
0,Biodiversity,37.75
0,Contiguity,0
0.05,Biodiversity,37.64
0.05,Contiguity,2.35
0.1,Biodiversity,37.64
0.1,Contiguity,4.7
0.15,Biodiversity,37.4
0.15,Contiguity,7.35
0.2,Biodiversity,37.4
0.2,Contiguity,9.8
0.25,Biodiversity,36.69
0.25,Contiguity,13
0.3,Biodiversity,36.69
0.3,Contiguity,15.6
0.35,Biodiversity,36.03
0.35,Contiguity,18.9
0.4,Biodiversity,34.94
0.4,Contiguity,22.8
0.45,Biodiversity,34.53
0.45,Contiguity,26.1
0.5,Biodiversity,33.09
0.5,Contiguity,30.5
0.55,Biodiversity,33.09
0.55,Contiguity,33.55
0.6,Biodiversity,33.09
0.6,Contiguity,36.6
0.65,Biodiversity,30.49
0.65,Contiguity,42.25
0.7,Biodiversity,30.49
0.7,Contiguity,45.5
0.75,Biodiversity,30.49
0.75,Contiguity,48.75
0.8,Biodiversity,30.49
0.8,Contiguity,52
0.85,Biodiversity,30.49
0.85,Contiguity,55.25
0.9,Biodiversity,29.63
0.9,Contiguity,59.4
0.95,Biodiversity,29.63
0.95,Contiguity,62.7
1,Biodiversity,29.63
1,Contiguity,66
1.05,Biodiversity,29.63
1.05,Contiguity,69.3
1.1,Biodiversity,29.63
1.1,Contiguity,72.6
